id,title,category,applicationEnd,applicationEndSource,status,has_hwp,sourceUrl,organization,sourcePublishedAt,pipeline_notes
suwon-ofr-156622,2026년 4분기 평동 주민자치센터 프로그램 수강생 모집,course_local,2026-09-30,body:접수기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156622,평동,2026-09-14,
suwon-ofr-156601,「2026년 재생에너지 보급(융복합지원) 사업」 수원시 참여 아파트 선정 추가 모집 공고,support_apply,2026-09-30,body:접수기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156601,기후에너지과,2026-09-14,
suwon-ofr-156128,2026년 하반기 착한가격업소 신규지정 모집 공고,experience_apply,2027-02-28,publish_period_proxy,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156128,지역경제과,2026-09-01,applicationEnd is publish_period PROXY only — not for auto-publish
suwon-ofr-156587,입북동 주민자치센터 자원봉사자 모집 공고,course_local,2026-09-18,body:신청기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156587,입북동,2026-09-14,
suwon-ofr-156498,전세사기피해자 전세자금 대출이자비 2차 지원사업 공고,support_apply,2026-09-27,publish_period_proxy,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156498,토지정보과,2026-09-10,applicationEnd is publish_period PROXY only — not for auto-publish
suwon-ofr-155143,경기주택공사(GH) 「2026년 기존주택 전세임대 입주자 상시모집」공고,experience_apply,2026-12-31,publish_period_proxy,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155143,도시재생과,2026-07-29,applicationEnd is publish_period PROXY only — not for auto-publish
suwon-ofr-156538,2026년 10월 파장동 주민자치센터 프로그램 수강생 모집 공고,course_local,2026-09-30,body:접수기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156538,파장동,2026-09-14,
suwon-ofr-156369,2026년「수원시 야생조류 충돌 저감조치 지원사업」재공고,support_apply,2026-09-30,body:신청기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156369,환경정책과,2026-09-07,
suwon-ofr-156580,2026년 조원2동 주민자치센터 「가을 힐링원예」 프로그램 수강생 모집 공고,course_local,2026-09-23,body:모집기간,pending_review,False,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156580,조원2동,2026-09-11,
suwon-ofr-156307,2026년 팔달새일센터『새일마음ON』심리상담지원사업 참여자 모집 공고,support_apply,2026-09-17,body:모집기간,pending_review,True,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156307,노동일자리정책과,2026-09-03,
suwon-ofr-156521,2026년 4분기 광교1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156521,광교1동,2026-09-10,
suwon-ofr-156491,2026년 4분기 원천동 주민자치센터 프로그램 수강생 모집 공고(수정),course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156491,원천동,2026-09-10,
suwon-ofr-156481,2026년 곡선동 평생학습센터 「디지털 문해 프로그램」수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156481,곡선동,2026-09-10,
suwon-ofr-156480,2026년 4분기 매탄1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156480,매탄1동,2026-09-09,
suwon-ofr-156458,2026년도 4분기 매탄2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156458,매탄2동,2026-09-09,
suwon-ofr-156455,2026년 4분기 행궁동 주민자치센터 특성화 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156455,행궁동,2026-09-09,
suwon-ofr-156152,2026년도 4분기 우만2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156152,우만2동,2026-09-09,
suwon-ofr-156443,2026년 4분기 송죽동 주민자치센터 프로그램수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156443,송죽동,2026-09-08,
suwon-ofr-156434,2026년 4분기 행궁동 주민자치센터 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156434,행궁동,2026-09-08,
suwon-ofr-156425,2026년 4분기 입북동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156425,입북동,2026-09-08,
suwon-ofr-156401,2026년 4분기 곡선동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156401,곡선동,2026-09-08,
suwon-ofr-156382,2026년 4분기 세류1동 주민자치센터 프로그램 수강생 모집,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156382,세류1동,2026-09-07,
suwon-ofr-156362,2026년 4분기 인계동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156362,인계동,2026-09-07,
suwon-ofr-156353,2026년 4분기 서둔동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156353,서둔동,2026-09-07,
suwon-ofr-156357,2026년 4분기 권선1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156357,권선1동,2026-09-04,
suwon-ofr-156339,2026년 조원2동 주민자치센터 「AI 디지털배움터」 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156339,조원2동,2026-09-04,
suwon-ofr-156336,2026년도 4분기 화서1동 주민자치센터 수강생 모집 공고(수정),course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156336,화서1동,2026-09-04,
suwon-ofr-156330,2026년 4분기 화서2동 주민자치센터 특성화 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156330,화서2동,2026-09-04,
suwon-ofr-156329,2026년 4분기 화서2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156329,화서2동,2026-09-04,
suwon-ofr-156292,2026년 4분기 세류2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156292,세류2동,2026-09-04,
suwon-ofr-156297,2026년 4분기 화서1동 주민자치센터 강사 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156297,화서1동,2026-09-03,
suwon-ofr-156291,2026년 4분기 영통3동 주민자치센터 프로그램 수강생 모집,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156291,영통3동,2026-09-03,
suwon-ofr-156241,2026년 4분기 매탄4동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156241,매탄4동,2026-09-03,
