list_no,notice_no,title,dept,publish_date,publish_period,views,notAncmtMgtNo,detail_url,detail_url_http,publish_date_iso,list_page,pos_hits,neg_hits,score,strong_neg,blacklist_hit,is_keyword_candidate,pipeline_status,reject_reason,category
6233,수원시 권선구 평동 공고 제2026-82호,2026년 민방위 사이버교육(보충1차) 통지서 반송에 따른 공시송달 공고,평동,2026-09-14,2026-09-14 ~ 2026-09-30,3,156657,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156657,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156657,2026-09-14,1,교육,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6232,수원시 권선구 입북동 공고 제2026-42호,2026년 민방위 집합・사이버교육(보충1차) 통지서 반송에 따른 공시송달 공고,입북동,2026-09-14,2026-09-14 ~ 2026-09-30,6,156651,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156651,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156651,2026-09-14,1,교육,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6231,수원시 영통구 원천동 공고 제2026-66호,수원시 원천동 지역사회보장협의체 위원 공개모집 공고,원천동,2026-09-14,2026-09-14 ~ 2026-10-01,5,156648,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156648,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156648,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6230,수원시 공고 제2026-2096호,건설공사 안전점검 수행기관 지정 결과 공고(호매실동 1395-1),건축과,2026-09-14,2026-09-14 ~ 2026-09-16,37,156647,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156647,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156647,2026-09-14,1,,,0,,결과 공고,False,rejected,blacklist:결과 공고,
6229,수원시 도로교통관리사업소 공고 제2026-128호,8월 자동차 정기(종합)검사 촉구 및 명령서 반송분 공시송달 공고,자동차관리과,2026-09-14,2026-09-14 ~ 2026-09-30,10,156643,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156643,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156643,2026-09-14,1,,공시송달,-1,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6228,수원시 영통구 광교2동 공고 제2026-36호,수원시 광교2동 지역사회보장협의체 위원 공개모집 공고,광교2동,2026-09-14,2026-09-14 ~ 2026-10-01,36,156641,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156641,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156641,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6227,수원시 권선구 세류2동 공고 제2026-77호,수원시 세류2동 지역사회보장협의체 위원 공개모집 공고,세류2동,2026-09-14,2026-09-14 ~ 2026-10-01,27,156637,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156637,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156637,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6226,수원시 영통구 매탄2동 공고 제2026-45호,수원시 매탄2동 지역사회보장협의체 위원 공개모집 공고,매탄2동,2026-09-14,2026-09-14 ~ 2026-10-01,35,156635,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156635,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156635,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6225,수원시 농업기술센터 공고 제2026-34호,2026년도 수원시 농어민 기회소득 지원사업 시행계획 변경 공고,생명산업과,2026-09-14,,9,156634,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156634,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156634,2026-09-14,1,지원사업,,1,,시행계획 변경,True,rejected,blacklist:시행계획 변경,
6224,수원시 권선구 곡선동 공고 제2026-65호,수원시 곡선동 지역사회보장협의체 위원 모집 공개모집 공고,곡선동,2026-09-14,2026-09-14 ~ 2026-10-01,24,156632,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156632,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156632,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6223,수원시 영통구 영통3동 공고 제2026-68호,수원시 영통3동 지역사회보장협의체 위원 공개모집 공고,영통3동,2026-09-14,2026-09-14 ~ 2026-10-01,9,156631,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156631,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156631,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6222,수원시 팔달구 행궁동 공고 제2026-45호,수원시 행궁동 지역사회보장협의체 위원 공개모집 공고,행궁동,2026-09-14,2026-09-11 ~ 2026-10-01,0,156630,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156630,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156630,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6221,수원시 장안구 율천동 공고 제2026-34호,수원시 율천동 지역사회보장협의체 위원 공개모집 공고,율천동,2026-09-14,2026-09-14 ~ 2026-10-01,15,156629,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156629,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156629,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6220,수원시 팔달구 공고 제2026-573호,폐기물관리법 위반 과태료 체납자 독촉장 및 압류예고 공시송달 공고,환경위생과,2026-09-14,2026-09-14 ~ 2026-09-30,3,156628,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156628,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156628,2026-09-14,1,,"공시송달,과태료",-2,"공시송달,과태료",공시송달,False,rejected,"strong_neg:공시송달,과태료",
6219,수원시 팔달구 공고 제2026-572호,폐기물 관리법 위반 과태료 본부과 처분에 대한 공시송달 공고,환경위생과,2026-09-14,2026-09-14 ~ 2026-09-30,3,156627,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156627,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156627,2026-09-14,1,,"공시송달,과태료",-2,"공시송달,과태료",공시송달,False,rejected,"strong_neg:공시송달,과태료",
6218,수원시 팔달구 매산동 공고 제2026-74호,주민등록 무단전출자에 대한 직권조치 결과 공고,매산동,2026-09-14,2026-09-14 ~ 2026-09-29,2,156625,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156625,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156625,2026-09-14,1,,,0,,결과 공고,False,rejected,blacklist:결과 공고,
6217,수원시 팔달구 공고 제2026-571호,폐기물관리법 위반 과태료 사전통지 공시송달 공고,환경위생과,2026-09-14,2026-09-14 ~ 2026-09-30,3,156624,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156624,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156624,2026-09-14,1,,"공시송달,과태료",-2,"공시송달,과태료",공시송달,False,rejected,"strong_neg:공시송달,과태료",
6216,수원시 권선구 평동 공고 제2026-81호,2026년 4분기 평동 주민자치센터 프로그램 수강생 모집,평동,2026-09-14,2026-09-14 ~ 2026-09-30,15,156622,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156622,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156622,2026-09-14,1,"모집,프로그램,수강",,3,,,True,candidate,,course_local
6215,수원시 권선구 평동 공고 제2026-80호,2026년 민방위 집합교육(보충1차) 통지서 반송에 따른 공시송달 공(수정),평동,2026-09-14,2026-09-14 ~ 2026-10-08,10,156621,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156621,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156621,2026-09-14,1,교육,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6214,수원시 권선구 금곡동 공고 제2026-64호,2026년 민방위 사이버교육(보충1차) 통지서 반송에 따른 공시송달 공고,금곡동,2026-09-14,2026-09-14 ~ 2026-10-06,9,156619,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156619,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156619,2026-09-14,1,교육,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6213,수원시 권선구 공고 제2026-762호,이륜자동차 정기검사 신청기간 경과 알림 및 명령서 반송분 공시송달 공고,경제교통과,2026-09-14,2026-09-14 ~ 2026-09-30,16,156618,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156618,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156618,2026-09-14,1,신청,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
6212,수원시 영통구 망포2동 공고 제2026-45호,수원시 망포2동 지역사회보장협의체 위원 공개모집 공고,망포2동,2026-09-14,2026-09-14 ~ 2026-10-01,13,156616,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156616,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156616,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
6211,수원시 권선구 세류3동 공고 제2026-68호,수원시 세류3동 지역사회보장협의체 제6기 위원 모집 공고,세류3동,2026-09-14,2026-09-14 ~ 2026-10-01,2,156615,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156615,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156615,2026-09-14,1,모집,,1,,위원,True,rejected,blacklist:위원,
